time	I(R3)
Step Information: X=500m Y=500m  (Step: 1/64)
0.000000000000000e+00	-5.128603e-03
1.000000000000000e+01	-5.128603e-03
Step Information: X=500 Y=500m  (Step: 2/64)
0.000000000000000e+00	-5.128603e-03
1.000000000000000e+01	-5.128603e-03
Step Information: X=2.5K Y=500m  (Step: 3/64)
0.000000000000000e+00	-5.128603e-03
1.000000000000000e+01	-5.128603e-03
Step Information: X=5K Y=500m  (Step: 4/64)
0.000000000000000e+00	-5.128603e-03
1.000000000000000e+01	-5.128603e-03
Step Information: X=10K Y=500m  (Step: 5/64)
0.000000000000000e+00	-5.128603e-03
1.000000000000000e+01	-5.128603e-03
Step Information: X=15K Y=500m  (Step: 6/64)
0.000000000000000e+00	-5.128603e-03
1.000000000000000e+01	-5.128603e-03
Step Information: X=20K Y=500m  (Step: 7/64)
0.000000000000000e+00	-5.128603e-03
1.000000000000000e+01	-5.128603e-03
Step Information: X=25K Y=500m  (Step: 8/64)
0.000000000000000e+00	-5.128603e-03
1.000000000000000e+01	-5.128603e-03
Step Information: X=500m Y=500  (Step: 9/64)
0.000000000000000e+00	-3.805816e-03
1.000000000000000e+01	-3.805816e-03
Step Information: X=500 Y=500  (Step: 10/64)
0.000000000000000e+00	-3.805816e-03
1.000000000000000e+01	-3.805816e-03
Step Information: X=2.5K Y=500  (Step: 11/64)
0.000000000000000e+00	-3.805816e-03
1.000000000000000e+01	-3.805816e-03
Step Information: X=5K Y=500  (Step: 12/64)
0.000000000000000e+00	-3.805816e-03
1.000000000000000e+01	-3.805816e-03
Step Information: X=10K Y=500  (Step: 13/64)
0.000000000000000e+00	-3.805816e-03
1.000000000000000e+01	-3.805816e-03
Step Information: X=15K Y=500  (Step: 14/64)
0.000000000000000e+00	-3.805816e-03
1.000000000000000e+01	-3.805816e-03
Step Information: X=20K Y=500  (Step: 15/64)
0.000000000000000e+00	-3.805816e-03
1.000000000000000e+01	-3.805816e-03
Step Information: X=25K Y=500  (Step: 16/64)
0.000000000000000e+00	-3.805816e-03
1.000000000000000e+01	-3.805816e-03
Step Information: X=500m Y=2.5K  (Step: 17/64)
0.000000000000000e+00	-1.872271e-03
1.000000000000000e+01	-1.872271e-03
Step Information: X=500 Y=2.5K  (Step: 18/64)
0.000000000000000e+00	-1.872271e-03
1.000000000000000e+01	-1.872271e-03
Step Information: X=2.5K Y=2.5K  (Step: 19/64)
0.000000000000000e+00	-1.872271e-03
1.000000000000000e+01	-1.872271e-03
Step Information: X=5K Y=2.5K  (Step: 20/64)
0.000000000000000e+00	-1.872271e-03
1.000000000000000e+01	-1.872271e-03
Step Information: X=10K Y=2.5K  (Step: 21/64)
0.000000000000000e+00	-1.872271e-03
1.000000000000000e+01	-1.872271e-03
Step Information: X=15K Y=2.5K  (Step: 22/64)
0.000000000000000e+00	-1.872271e-03
1.000000000000000e+01	-1.872271e-03
Step Information: X=20K Y=2.5K  (Step: 23/64)
0.000000000000000e+00	-1.872271e-03
1.000000000000000e+01	-1.872271e-03
