"FREQ","Vout"
0.2311406874,-110.91
0.2365246585,-110.71
0.2420340256,-110.51
0.2476717223,-110.31
0.2534407378,-110.11
0.2593441309,-109.91
0.2653850318,-109.71
0.2715666433,-109.51
0.277892243,-109.31
0.2843651849,-109.11
0.2909889009,-108.91
0.2977669032,-108.71
0.3047027853,-108.51
0.311800225,-108.31
0.3190629852,-108.11
0.3264949168,-107.91
0.3340999604,-107.71
0.3418821482,-107.51
0.3498456065,-107.31
0.3579945575,-107.11
0.3663333219,-106.91
0.3748663212,-106.71
0.3835980795,-106.51
0.3925332266,-106.31
0.4016765,-106.11
0.4110327476,-105.91
0.4206069302,-105.71
0.4304041242,-105.51
0.4404295242,-105.31
0.4506884457,-105.11
0.4611863282,-104.91
0.4719287377,-104.71
0.4829213702,-104.51
0.4941700539,-104.31
0.5056807532,-104.11
0.5174595711,-103.91
0.5295127529,-103.71
0.5418466893,-103.51
0.5544679201,-103.31
0.5673831371,-103.11
0.5805991881,-102.91
0.5941230805,-102.71
0.6079619848,-102.51
0.6221232387,-102.31
0.6366143504,-102.11
0.6514430036,-101.91
0.6666170605,-101.71
0.6821445665,-101.51
0.6980337546,-101.31
0.7142930495,-101.11
0.730931072,-100.91
0.7479566438,-100.71
0.7653787921,-100.51
0.7832067544,-100.31
0.8014499833,-100.11
0.8201181516,-99.9103
0.8392211573,-99.7103
0.8587691293,-99.5103
0.878772432,-99.3103
0.8992416715,-99.1103
0.9201877008,-98.9103
0.9416216258,-98.7103
0.963554811,-98.5103
0.9859988858,-98.3103
1.00896575,-98.1103
1.032467582,-97.9103
1.056516841,-97.7103
1.08112628,-97.5103
1.106308946,-97.3103
1.132078192,-97.1103
1.15844768,-96.9103
1.185431393,-96.7103
1.213043637,-96.5103
1.241299053,-96.3103
1.270212623,-96.1103
1.299799675,-95.9103
1.330075899,-95.7103
1.361057347,-95.5103
1.392760445,-95.3103
1.425202003,-95.1103
1.458399223,-94.9103
1.492369705,-94.7103
1.527131461,-94.5103
1.562702922,-94.3103
1.599102949,-94.1103
1.636350842,-93.9103
1.674466349,-93.7103
1.713469681,-93.5103
1.753381517,-93.3103
1.794223019,-93.1103
1.836015842,-92.9103
1.878782145,-92.7103
1.922544603,-92.5102
1.967326419,-92.3102
2.013151339,-92.1102
2.060043657,-91.9102
2.108028238,-91.7102
2.157130524,-91.5102
2.207376548,-91.3102
2.258792953,-91.1102
2.311407,-90.9102
2.365246585,-90.7102
2.420340256,-90.5102
2.476717223,-90.3102
2.534407378,-90.1102
2.593441309,-89.9102
2.653850318,-89.7102
2.715666433,-89.5102
2.77892243,-89.3102
2.843651849,-89.1102
2.909889009,-88.9102
2.977669032,-88.7102
3.047027853,-88.5102
3.11800225,-88.3102
3.190629852,-88.1102
3.264949168,-87.9102
3.340999604,-87.7102
3.418821482,-87.5102
3.498456065,-87.3102
3.579945575,-87.1102
3.663333219,-86.9102
3.748663212,-86.7102
3.835980795,-86.5102
3.925332266,-86.3102
4.016765,-86.1102
4.110327476,-85.9102
4.206069302,-85.7101
4.304041242,-85.5101
4.404295242,-85.3101
4.506884457,-85.1101
4.611863282,-84.9101
4.719287377,-84.7101
4.829213702,-84.5101
4.941700539,-84.3101
5.056807532,-84.1101
5.174595711,-83.9101
5.295127529,-83.7101
5.418466893,-83.5101
5.544679201,-83.31
5.673831371,-83.11
5.805991881,-82.91
5.941230805,-82.71
6.079619848,-82.51
6.221232387,-82.31
6.366143504,-82.11
6.514430036,-81.91
6.666170605,-81.7099
6.821445665,-81.5099
6.980337546,-81.3099
7.142930495,-81.1099
7.30931072,-80.9099
7.479566438,-80.7099
7.653787921,-80.5098
7.832067544,-80.3098
8.014499833,-80.1098
8.201181516,-79.9098
8.392211573,-79.7097
8.587691293,-79.5097
8.78772432,-79.3097
8.992416715,-79.1097
9.201877008,-78.9096
9.416216258,-78.7096
9.63554811,-78.5096
9.859988858,-78.3095
10.0896575,-78.1095
10.32467582,-77.9095
10.56516841,-77.7094
10.8112628,-77.5094
11.06308946,-77.3094
11.32078192,-77.1093
11.5844768,-76.9093
11.85431393,-76.7092
12.13043637,-76.5092
12.41299053,-76.3091
12.70212623,-76.1091
12.99799675,-75.909
13.30075899,-75.7089
13.61057347,-75.5089
13.92760445,-75.3088
14.25202003,-75.1087
14.58399223,-74.9087
14.92369705,-74.7086
15.27131461,-74.5085
15.62702922,-74.3084
15.99102949,-74.1083
16.36350842,-73.9083
16.74466349,-73.7082
17.13469681,-73.5081
17.53381517,-73.308
17.94223019,-73.1078
18.36015842,-72.9077
18.78782145,-72.7076
19.22544603,-72.5075
19.67326419,-72.3074
20.13151339,-72.1072
20.60043657,-71.9071
21.08028238,-71.7069
21.57130524,-71.5068
22.07376548,-71.3066
22.58792953,-71.1064
23.11407,-70.9062
23.65246585,-70.7061
24.20340256,-70.5059
24.76717223,-70.3056
25.34407378,-70.1054
25.93441309,-69.9052
26.53850318,-69.705
27.15666433,-69.5047
27.7892243,-69.3045
28.43651849,-69.1042
29.09889009,-68.9039
29.77669032,-68.7036
30.47027853,-68.5033
31.1800225,-68.3029
31.90629852,-68.1026
32.64949168,-67.9022
33.40999604,-67.7019
34.18821482,-67.5015
34.98456065,-67.301
35.79945575,-67.1006
36.63333219,-66.9002
37.48663212,-66.6997
38.35980795,-66.4992
39.25332266,-66.2986
40.16765,-66.0981
41.10327476,-65.8975
42.06069302,-65.6969
43.04041242,-65.4963
44.04295242,-65.2956
45.06884457,-65.0949
46.11863282,-64.8942
47.19287377,-64.6935
48.29213702,-64.4927
49.41700539,-64.2918
50.56807532,-64.091
51.74595711,-63.8901
52.95127529,-63.6891
54.18466893,-63.4881
55.44679201,-63.2871
56.73831371,-63.086
58.05991881,-62.8848
59.41230805,-62.6836
60.79619848,-62.4824
62.21232387,-62.281
63.66143504,-62.0797
65.14430036,-61.8782
66.66170605,-61.6767
68.21445665,-61.4751
69.80337546,-61.2735
71.42930495,-61.0717
73.0931072,-60.8699
74.79566438,-60.668
76.53787921,-60.466
78.32067544,-60.2639
80.14499833,-60.0617
82.01181516,-59.8594
83.92211573,-59.657
85.87691293,-59.4545
87.8772432,-59.2519
89.92416715,-59.0491
92.01877008,-58.8462
94.16216258,-58.6432
96.3554811,-58.44
98.59988858,-58.2367
100.896575,-58.0333
103.2467582,-57.8296
105.6516841,-57.6258
108.112628,-57.4218
110.6308946,-57.2176
113.2078192,-57.0132
115.844768,-56.8086
118.5431393,-56.6038
121.3043637,-56.3988
124.1299053,-56.1935
127.0212623,-55.988
129.9799675,-55.7822
133.0075899,-55.5761
136.1057347,-55.3698
139.2760445,-55.1631
142.5202003,-54.9561
145.8399223,-54.7488
149.2369705,-54.5411
152.7131461,-54.3331
156.2702922,-54.1247
159.9102949,-53.9159
163.6350842,-53.7067
167.4466349,-53.497
171.3469681,-53.2868
175.3381517,-53.0762
179.4223019,-52.8651
183.6015842,-52.6534
187.8782145,-52.4412
192.2544603,-52.2283
196.7326419,-52.0149
201.3151339,-51.8008
206.0043657,-51.586
210.8028238,-51.3705
215.7130524,-51.1543
220.7376548,-50.9373
225.8792953,-50.7194
231.1407,-50.5007
236.5246585,-50.2811
242.0340256,-50.0605
247.6717223,-49.8389
253.4407378,-49.6162
259.3441309,-49.3925
265.3850318,-49.1675
271.5666433,-48.9414
277.892243,-48.7139
284.3651849,-48.4851
290.9889009,-48.2549
297.7669032,-48.0232
304.7027853,-47.7899
311.800225,-47.5549
319.0629852,-47.3182
326.4949168,-47.0796
334.0999604,-46.8391
341.8821482,-46.5965
349.8456065,-46.3519
357.9945575,-46.1049
366.3333219,-45.8555
374.8663212,-45.6036
383.5980795,-45.3491
392.5332266,-45.0917
401.6765,-44.8314
411.0327476,-44.5679
420.6069302,-44.3012
430.4041242,-44.0309
440.4295242,-43.7569
450.6884457,-43.479
461.1863282,-43.197
471.9287377,-42.9106
482.9213702,-42.6195
494.1700539,-42.3235
505.6807532,-42.0223
517.4595711,-41.7156
529.5127529,-41.403
541.8466893,-41.0842
554.4679201,-40.7588
567.3831371,-40.4264
580.5991881,-40.0865
594.1230805,-39.7387
607.9619848,-39.3826
622.1232387,-39.0176
636.6143504,-38.6431
651.4430036,-38.2587
666.6170605,-37.8637
682.1445665,-37.4576
698.0337546,-37.0398
714.2930495,-36.6098
730.931072,-36.167
747.9566438,-35.7112
765.3787921,-35.242
783.2067544,-34.7594
801.4499833,-34.2638
820.1181516,-33.7561
839.2211573,-33.2379
858.7691293,-32.7117
878.772432,-32.1816
899.2416715,-31.6534
920.1877008,-31.1354
941.6216258,-30.6384
963.554811,-30.1765
985.9988858,-29.7666
1008.96575,-29.4274
1032.467582,-29.1772
1056.516841,-29.0311
1081.12628,-28.9981
1106.308946,-29.0786
1132.078192,-29.2648
1158.44768,-29.5419
1185.431393,-29.8918
1213.043637,-30.2956
1241.299053,-30.7361
1270.212623,-31.1989
1299.799675,-31.6724
1330.075899,-32.1482
1361.057347,-32.62
1392.760445,-33.0836
1425.202003,-33.5361
1458.399223,-33.9758
1492.369705,-34.4016
1527.131461,-34.8131
1562.702922,-35.2102
1599.102949,-35.593
1636.350842,-35.9618
1674.466349,-36.3171
1713.469681,-36.6593
1753.381517,-36.9889
1794.223019,-37.3066
1836.015842,-37.6127
1878.782145,-37.9078
1922.544603,-38.1923
1967.326419,-38.4668
2013.151339,-38.7317
2060.043657,-38.9873
2108.028238,-39.2341
2157.130524,-39.4724
2207.376548,-39.7027
2258.792953,-39.9251
2311.407,-40.1401
2365.246585,-40.3478
2420.340256,-40.5486
2476.717223,-40.7427
2534.407378,-40.9304
2593.441309,-41.1119
2653.850318,-41.2873
2715.666433,-41.4569
2778.92243,-41.6209
2843.651849,-41.7795
2909.889009,-41.9328
2977.669032,-42.0809
3047.027853,-42.2242
3118.00225,-42.3626
3190.629852,-42.4964
3264.949168,-42.6256
3340.999604,-42.7505
3418.821482,-42.8711
3498.456065,-42.9876
3579.945575,-43.1
3663.333219,-43.2086
3748.663212,-43.3133
3835.980795,-43.4144
3925.332266,-43.512
4016.765,-43.6061
4110.327476,-43.6968
4206.069302,-43.7843
4304.041242,-43.8686
4404.295242,-43.9498
4506.884457,-44.0281
4611.863282,-44.1035
4719.287377,-44.1761
4829.213702,-44.2459
4941.700539,-44.3132
5056.807532,-44.378
5174.595711,-44.4402
5295.127529,-44.5001
5418.466893,-44.5577
5544.679201,-44.6131
5673.831371,-44.6664
5805.991881,-44.7175
5941.230805,-44.7667
6079.619848,-44.8139
6221.232387,-44.8593
6366.143504,-44.9028
6514.430036,-44.9446
6666.170605,-44.9848
6821.445665,-45.0233
6980.337546,-45.0603
7142.930495,-45.0957
7309.31072,-45.1297
7479.566438,-45.1623
7653.787921,-45.1936
7832.067544,-45.2236
8014.499833,-45.2523
8201.181516,-45.2799
8392.211573,-45.3063
8587.691293,-45.3316
8787.72432,-45.3558
8992.416715,-45.3791
9201.877008,-45.4013
9416.216258,-45.4226
9635.54811,-45.443
9859.988858,-45.4625
10089.6575,-45.4812
10324.67582,-45.4991
10565.16841,-45.5163
10811.2628,-45.5327
11063.08946,-45.5484
11320.78192,-45.5634
11584.4768,-45.5778
11854.31393,-45.5915
12130.43637,-45.6047
12412.99053,-45.6172
12702.12623,-45.6293
12997.99675,-45.6408
13300.75899,-45.6518
13610.57347,-45.6623
13927.60445,-45.6724
14252.02003,-45.6821
14583.99223,-45.6913
14923.69705,-45.7001
15271.31461,-45.7085
15627.02922,-45.7165
15991.02949,-45.7242
16363.50842,-45.7316
16744.66349,-45.7386
17134.69681,-45.7453
17533.81517,-45.7518
17942.23019,-45.7579
18360.15842,-45.7638
18787.82145,-45.7694
19225.44603,-45.7748
19673.26419,-45.7799
20131.51339,-45.7848
20600.43657,-45.7895
21080.28238,-45.7939
21571.30524,-45.7982
22073.76548,-45.8023
22587.92953,-45.8062
23114.07,-45.8099
23652.46585,-45.8135
24203.40256,-45.8169
24767.17223,-45.8201
25344.07378,-45.8232
25934.41309,-45.8262
26538.50318,-45.829
27156.66433,-45.8317
27789.2243,-45.8343
28436.51849,-45.8368
29098.89009,-45.8392
29776.69032,-45.8414
30470.27853,-45.8436
31180.0225,-45.8456
31906.29852,-45.8476
32649.49168,-45.8495
33409.99604,-45.8513
34188.21482,-45.853
34984.56065,-45.8546
35799.45575,-45.8562
36633.33219,-45.8577
37486.63212,-45.8591
38359.80795,-45.8605
39253.32266,-45.8618
40167.65,-45.863
41103.27476,-45.8642
42060.69302,-45.8653
43040.41242,-45.8664
44042.95242,-45.8675
45068.84457,-45.8685
46118.63282,-45.8694
47192.87377,-45.8703
48292.13702,-45.8712
49417.00539,-45.872
50568.07532,-45.8728
51745.95711,-45.8735
52951.27529,-45.8742
54184.66893,-45.8749
55446.79201,-45.8756
56738.31371,-45.8762
58059.91881,-45.8768
59412.30805,-45.8774
60796.19848,-45.8779
62212.32387,-45.8784
63661.43504,-45.8789
65144.30036,-45.8794
66661.70605,-45.8799
68214.45665,-45.8803
69803.37546,-45.8807
71429.30495,-45.8811
73093.1072,-45.8815
74795.66438,-45.8818
76537.87921,-45.8822
78320.67544,-45.8825
80144.99833,-45.8828
82011.81516,-45.8831
83922.11573,-45.8834
85876.91293,-45.8837
87877.2432,-45.8839
89924.16715,-45.8842
92018.77008,-45.8844
94162.16258,-45.8846
96355.4811,-45.8849
98599.88858,-45.8851
100896.575,-45.8853
103246.7582,-45.8855
105651.6841,-45.8856
108112.628,-45.8858
110630.8946,-45.886
113207.8192,-45.8861
115844.768,-45.8863
118543.1393,-45.8864
121304.3637,-45.8866
124129.9053,-45.8867
127021.2623,-45.8868
129979.9675,-45.8869
133007.5899,-45.887
136105.7347,-45.8872
139276.0445,-45.8873
142520.2003,-45.8874
145839.9223,-45.8875
149236.9705,-45.8875
152713.1461,-45.8876
156270.2922,-45.8877
159910.2949,-45.8878
163635.0842,-45.8879
167446.6349,-45.8879
171346.9681,-45.888
175338.1517,-45.8881
179422.3019,-45.8881
183601.5842,-45.8882
187878.2145,-45.8882
192254.4603,-45.8883
196732.6419,-45.8884
